"mmsi","length","tonnage"
"440641000",51.23,532
"440954000",52.84,532
"440504000",53.3,384
"440801000",50.92,477
"440590000",47.21,385
"440403690",28.4,134.29
"440246000",49.9,411
"440549000",51.39,498.33
"441233000",50.27,445.67
"440820000",50.25,384.5
"440703000",53,522
"440931000",52.84,522
"440894000",50.75,533
"440895000",51.03,527
"440792000",54.22,520
"440786000",52.99,530.5
"440298000",54.23,520
"440821000",50.25,384.5
"441584000",52.85,496
"441090000",52.99,516.5
"440600292",24.07,64.02
"440933000",54.55,520
"440612000",50.89,401
"440600402",20.83,44.02
"441660000",51.63,490.67
"440731000",49.24,479.5
"440636000",51.86,520
"440992000",52.69,408
"440986000",50.25,479.5
"440885000",51.76,581
"440871000",52.99,522
"440935000",53,522
"441072000",53.14,522.5
"440522000",53.27,535.5
"441811000",56.55,601
"440788000",56.07,397
"440705000",54.69,520
"440781000",51.76,532
"440401930",27.54,124.59
"440015970",25.37,124.34
"440654000",50.25,484
"440941000",49.24,479.5
"441812000",56.55,607
"440045000",49.24,479.5
"440944000",50.81,541
"440886000",51.76,528
"440125000",52.65,493.5
"440920000",52.72,468.67
"440503000",52.48,424
"440934000",51.76,522
"441825000",50.33,474.5
"440900000",51.96,523.5
"440584000",52.77,410
"440620000",52.12,512.5
"441043000",52.99,523.5
"440648000",52.04,512.5
"440989000",48.63,486.5
"441038000",52.99,522
"440412750",24.86,100.03
"440404230",23.96,85.98
"440733000",50.25,484
"440987000",50.25,479.5
"440765000",52.09,479
